MetaMessage('time_signature', numerator=1, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0)
MetaMessage('key_signature', key='C', time=0)
MetaMessage('set_tempo', tempo=454544, time=0)
MetaMessage('track_name', name='Rondo (alla Turca) from Sonata in A', time=0)
MetaMessage('text', text='Wolfgang Amadeus Mozart', time=0)
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=78 velocity=77 time=0.07812475
note_on channel=0 note=81 velocity=77 time=0
note_on channel=0 note=59 velocity=81 time=0
note_on channel=0 note=64 velocity=81 time=0
note_off channel=0 note=78 velocity=0 time=0.14914725
note_off channel=0 note=81 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=76 velocity=76 time=0.07812475
note_on channel=0 note=79 velocity=76 time=0
note_on channel=0 note=59 velocity=70 time=0
note_on channel=0 note=64 velocity=70 time=0
note_off channel=0 note=76 velocity=0 time=0.14914725
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=78 velocity=86 time=0.07812475
note_on channel=0 note=81 velocity=86 time=0
note_on channel=0 note=59 velocity=68 time=0
note_on channel=0 note=64 velocity=68 time=0
note_off channel=0 note=78 velocity=0 time=0.145596125
note_off channel=0 note=81 velocity=0 time=0
note_on channel=0 note=79 velocity=87 time=0
note_off channel=0 note=59 velocity=0 time=0.003551125
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=81 velocity=87 time=0.0372868125
note_on channel=0 note=83 velocity=87 time=0.0408379375
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=81 velocity=0 time=0
note_on channel=0 note=52 velocity=60 time=0
note_off channel=0 note=83 velocity=0 time=0.14914725
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=78 velocity=74 time=0.07812475
note_on channel=0 note=81 velocity=74 time=0
note_on channel=0 note=59 velocity=76 time=0
note_on channel=0 note=64 velocity=76 time=0
note_off channel=0 note=78 velocity=0 time=0.14914725
note_off channel=0 note=81 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=76 velocity=74 time=0.07812475
note_on channel=0 note=79 velocity=74 time=0
note_on channel=0 note=59 velocity=64 time=0
note_on channel=0 note=64 velocity=64 time=0
note_off channel=0 note=76 velocity=0 time=0.14914725
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=78 velocity=97 time=0.07812475
note_on channel=0 note=81 velocity=97 time=0
note_on channel=0 note=59 velocity=62 time=0
note_on channel=0 note=64 velocity=62 time=0
note_off channel=0 note=78 velocity=0 time=0.145596125
note_off channel=0 note=81 velocity=0 time=0
note_on channel=0 note=79 velocity=105 time=0
note_off channel=0 note=59 velocity=0 time=0.003551125
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=81 velocity=105 time=0.0372868125
note_on channel=0 note=83 velocity=105 time=0.0408379375
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=81 velocity=0 time=0
note_on channel=0 note=52 velocity=57 time=0
note_off channel=0 note=83 velocity=0 time=0.14914725
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=78 velocity=88 time=0.07812475
note_on channel=0 note=81 velocity=88 time=0
note_on channel=0 note=59 velocity=83 time=0
note_on channel=0 note=64 velocity=83 time=0
note_off channel=0 note=78 velocity=0 time=0.14914725
note_off channel=0 note=81 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=76 velocity=88 time=0.07812475
note_on channel=0 note=79 velocity=88 time=0
note_on channel=0 note=47 velocity=61 time=0
note_off channel=0 note=76 velocity=0 time=0.14914725
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=47 velocity=0 time=0
note_on channel=0 note=75 velocity=83 time=0.07812475
note_on channel=0 note=78 velocity=83 time=0
note_on channel=0 note=59 velocity=66 time=0
note_off channel=0 note=75 velocity=0 time=0.14914725
note_off channel=0 note=78 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
MetaMessage('time_signature', numerator=1, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0.07812475)
note_on channel=0 note=76 velocity=77 time=0
note_on channel=0 note=52 velocity=63 time=0
note_off channel=0 note=76 velocity=0 time=0.4279105625
note_off channel=0 note=52 velocity=0 time=0
MetaMessage('set_tempo', tempo=447760, time=0.024857875)
MetaMessage('set_tempo', tempo=447760, time=0.0017490625)
MetaMessage('set_tempo', tempo=454544, time=0)
MetaMessage('time_signature', numerator=2, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0)
MetaMessage('time_signature', numerator=1, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0)
note_on channel=0 note=71 velocity=53 time=0
note_on channel=0 note=69 velocity=48 time=0.113636
note_off channel=0 note=71 velocity=0 time=0.0017755625
note_on channel=0 note=68 velocity=59 time=0.1118604375
note_off channel=0 note=69 velocity=0 time=0.0017755625
note_on channel=0 note=69 velocity=63 time=0.1118604375
note_off channel=0 note=68 velocity=0 time=0.0017755625
MetaMessage('time_signature', numerator=2, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0.1118604375)
note_on channel=0 note=72 velocity=71 time=0
note_on channel=0 note=57 velocity=46 time=0
note_off channel=0 note=69 velocity=0 time=0.0017755625
note_off channel=0 note=72 velocity=0 time=0.14737168750000001
note_on channel=0 note=60 velocity=53 time=0.07812475
note_on channel=0 note=64 velocity=53 time=0
note_off channel=0 note=57 velocity=0 time=0.003551125
note_off channel=0 note=60 velocity=0 time=0.2112919375
note_off channel=0 note=64 velocity=0 time=0
